Date,Price,Open,High,Low,Change %
"Nov 18, 2016",3.909,3.8979,3.97,3.8979,0.27
"Nov 17, 2016",3.8983,3.94,4.0094,3.8691,-1.06
"Nov 16, 2016",3.94,3.9031,4,3.8715,0.95
"Nov 15, 2016",3.9031,3.8997,3.9652,3.8531,0.09
"Nov 14, 2016",3.8997,3.8773,3.92,3.842,-3.24
"Oct 31, 2016",4.0303,4.03,4.05,4,0.01
"Oct 30, 2016",4.03,4.0898,4.0898,4.0106,-1.46
"Oct 29, 2016",4.0898,3.9947,4.105,3.9734,2.38
"Oct 28, 2016",3.9947,3.992,4.0109,3.8912,0.07
"Oct 27, 2016",3.992,3.9885,4.08,3.9521,0.09
"Oct 26, 2016",3.9885,3.916,3.995,3.8809,1.85
"Oct 25, 2016",3.916,3.881,3.933,3.7987,0.9
"Oct 24, 2016",3.881,3.8997,3.9399,3.881,-0.48
"Oct 23, 2016",3.8997,3.918,3.9459,3.8997,-0.47
"Oct 22, 2016",3.918,3.8569,3.9995,3.8559,1.58
"Oct 21, 2016",3.8569,3.789,3.8569,3.7875,1.79
"Oct 20, 2016",3.789,3.8157,3.8157,3.7803,-0.7
"Oct 19, 2016",3.8157,3.8272,3.8623,3.7853,-0.3
"Oct 18, 2016",3.8272,3.8365,3.8883,3.8251,-0.24
"Oct 17, 2016",3.8365,3.881,3.9282,3.8178,-1.15
"Oct 16, 2016",3.881,3.892,3.915,3.8511,-0.28
"Oct 15, 2016",3.892,3.9228,3.925,3.889,-0.79
"Oct 14, 2016",3.9228,3.9329,3.9329,3.8905,-0.26
"Oct 13, 2016",3.9329,3.81,3.95,3.81,3.23
"Oct 12, 2016",3.81,3.8304,3.8438,3.8038,-0.53
"Oct 11, 2016",3.8304,3.784,3.8554,3.7714,1.23
"Oct 10, 2016",3.784,3.7866,3.859,3.7685,-0.07
"Oct 09, 2016",3.7866,3.8295,3.8479,3.7866,-1.12
"Oct 08, 2016",3.8295,3.8649,3.8888,3.8254,-0.92
"Oct 07, 2016",3.8649,3.8478,3.8857,3.8463,0.44
"Oct 06, 2016",3.8478,3.83,3.8554,3.8165,0.46
"Oct 05, 2016",3.83,3.8142,3.86,3.8142,0.41
"Oct 04, 2016",3.8142,3.8555,3.8555,3.81,-1.07
"Oct 03, 2016",3.8555,3.8491,3.8555,3.8121,0.17
"Oct 02, 2016",3.8491,3.85,3.854,3.814,-0.02
"Oct 01, 2016",3.85,3.8486,3.8688,3.8378,0.04
"Sep 30, 2016",3.8486,3.8529,3.8529,3.8175,-0.11
"Sep 29, 2016",3.8529,3.857,3.8687,3.8291,-0.11
"Sep 28, 2016",3.857,3.843,3.8771,3.8269,0.36
"Sep 27, 2016",3.843,3.8582,3.8956,3.843,-0.39
"Sep 26, 2016",3.8582,3.8,3.8881,3.8,1.53
"Sep 25, 2016",3.8,3.8234,3.834,3.8,-0.61
"Sep 24, 2016",3.8234,3.808,3.8609,3.8054,0.4
"Sep 23, 2016",3.808,3.7506,3.8174,3.7501,1.53
"Sep 22, 2016",3.7506,3.8011,3.8011,3.7501,-1.33
"Sep 21, 2016",3.8011,3.7948,3.81,3.7326,0
"Sep 20, 2016",3.801,3.837,3.8587,3.801,-0.94
"Sep 19, 2016",3.837,3.8334,3.8758,3.8334,0.09
"Sep 18, 2016",3.8334,3.811,3.85,3.8066,0.59
"Sep 17, 2016",3.811,3.83,3.83,3.8038,-0.5
"Sep 16, 2016",3.83,3.86,3.8826,3.825,-0.78
"Sep 15, 2016",3.86,3.892,3.892,3.85,-0.82
"Sep 14, 2016",3.892,3.845,3.892,3.845,1.22
"Sep 13, 2016",3.845,3.8569,3.8799,3.81,-0.31
"Sep 12, 2016",3.8569,3.8977,3.8992,3.7319,-1.05
"Sep 11, 2016",3.8977,4.0199,4.0199,3.873,-3.04
"Sep 10, 2016",4.0199,3.9789,4.0221,3.9789,1.03
"Sep 09, 2016",3.9789,4.0289,4.04,3.9573,-1.24
"Sep 08, 2016",4.0289,4.0051,4.0599,3.9753,0.59
"Sep 07, 2016",4.0051,3.97,4.007,3.9211,0.88
"Sep 06, 2016",3.97,3.9781,4.0198,3.94,-0.2
"Sep 05, 2016",3.9781,4.0101,4.075,3.964,-0.8
